frame_number,elapsed_time,process_time,label,pose_bbox,pose_track_ids,fps,image_path
0,0 days 00:00:00.083155,0 days 00:00:00.039978,[1 0 0 0 0 0 0 0],
"[array([392,  26, 461, 254], dtype=int64)
 array([534,  43, 600, 265], dtype=int64)
 array([611, 114, 686, 299], dtype=int64)
 array([556, 315, 630, 355], dtype=int64)
 array([674, 234, 703, 348], dtype=int64)
 array([123,  61, 172, 210], dtype=int64)
 array([ 64, 200, 169, 324], dtype=int64)
 array([576,  21, 609,  59], dtype=int64)]",[1 2 3 4 5 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00000.jpg
5,0 days 00:00:02.373610,0 days 00:00:00.021793,[1 0 0 0 0 0 0 0],"[array([392,  27, 459, 254], dtype=int64)
 array([534,  39, 597, 265], dtype=int64)
 array([623, 124, 687, 292], dtype=int64)
 array([556, 292, 632, 356], dtype=int64)
 array([678, 257, 703, 347], dtype=int64)
 array([123,  58, 173, 210], dtype=int64)
 array([ 64, 200, 169, 324], dtype=int64)
 array([576,  22, 609,  57], dtype=int64)]",[1 2 3 4 5 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00005.jpg
10,0 days 00:00:02.595230,0 days 00:00:00.002408,[1 0 0 0 0 0 0 0],"[array([392,  27, 459, 255], dtype=int64)
 array([534,  39, 596, 265], dtype=int64)
 array([625, 126, 687, 291], dtype=int64)
 array([556, 288, 632, 356], dtype=int64)
 array([679, 260, 703, 347], dtype=int64)
 array([123,  58, 173, 210], dtype=int64)
 array([ 64, 200, 169, 324], dtype=int64)
 array([576,  22, 609,  56], dtype=int64)]",[1 2 3 4 5 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00010.jpg
15,0 days 00:00:02.886607,0 days 00:00:00.000434,[1 0 0 0 0 0 0 0],"[array([392,  27, 457, 255], dtype=int64)
 array([534,  33, 598, 265], dtype=int64)
 array([631, 128, 688, 269], dtype=int64)
 array([556, 283, 631, 356], dtype=int64)
 array([683, 269, 703, 345], dtype=int64)
 array([124,  63, 173, 210], dtype=int64)
 array([ 64, 200, 168, 324], dtype=int64)
 array([577,  21, 609,  57], dtype=int64)]",[1 2 3 4 5 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00015.jpg
20,0 days 00:00:03.333312,0 days 00:00:00.000435,[1 0 0 0 0 0],"[array([385,  26, 456, 255], dtype=int64)
 array([534,  32, 598, 262], dtype=int64)
 array([632, 131, 689, 268], dtype=int64)
 array([557, 280, 630, 356], dtype=int64)
 array([124,  65, 173, 210], dtype=int64)
 array([ 63, 200, 168, 324], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00020.jpg
25,0 days 00:00:03.707384,0 days 00:00:00.000452,[1 0 0 0 0 0 0],"[array([376,  24, 453, 255], dtype=int64)
 array([534,  33, 597, 259], dtype=int64)
 array([632, 136, 688, 274], dtype=int64)
 array([557, 279, 628, 356], dtype=int64)
 array([125,  55, 178, 209], dtype=int64)
 array([ 63, 200, 168, 324], dtype=int64)
 array([573,  18, 609,  58], dtype=int64)]",[1 2 3 4 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00025.jpg
30,0 days 00:00:04.245563,0 days 00:00:00.000465,[1 0 0 0 0 0 0],"[array([368,  22, 450, 255], dtype=int64)
 array([533,  32, 596, 255], dtype=int64)
 array([630, 141, 688, 294], dtype=int64)
 array([557, 278, 628, 355], dtype=int64)
 array([126,  62, 176, 206], dtype=int64)
 array([ 63, 201, 168, 324], dtype=int64)
 array([572,  17, 609,  57], dtype=int64)]",[1 2 3 4 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00030.jpg
35,0 days 00:00:04.371749,0 days 00:00:00.000456,[1 0 0 0 0 0],"[array([363,  17, 444, 255], dtype=int64)
 array([528,  28, 597, 248], dtype=int64)
 array([629, 144, 690, 300], dtype=int64)
 array([558, 279, 628, 355], dtype=int64)
 array([128,  64, 176, 200], dtype=int64)
 array([ 63, 202, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00035.jpg
40,0 days 00:00:04.658011,0 days 00:00:00.000448,[1 0 0 0 0 0],"[array([363,  14, 439, 255], dtype=int64)
 array([522,  33, 595, 242], dtype=int64)
 array([629, 145, 692, 307], dtype=int64)
 array([558, 279, 628, 355], dtype=int64)
 array([128,  66, 176, 197], dtype=int64)
 array([ 63, 201, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00040.jpg
45,0 days 00:00:05.185195,0 days 00:00:00.000450,[1 0 0 0 0 0],"[array([363,   9, 433, 255], dtype=int64)
 array([517,  34, 593, 236], dtype=int64)
 array([630, 149, 694, 311], dtype=int64)
 array([558, 279, 628, 355], dtype=int64)
 array([129,  65, 177, 193], dtype=int64)
 array([ 63, 201, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00045.jpg
50,0 days 00:00:05.545057,0 days 00:00:00.000420,[1 0 0 0 0 0],"[array([363,   6, 428, 254], dtype=int64)
 array([512,  34, 591, 235], dtype=int64)
 array([631, 154, 696, 313], dtype=int64)
 array([558, 280, 629, 355], dtype=int64)
 array([130,  65, 178, 191], dtype=int64)
 array([ 63, 201, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00050.jpg
55,0 days 00:00:05.702410,0 days 00:00:00.000431,[1 0 0 0 0 0],"[array([364,   2, 422, 250], dtype=int64)
 array([511,  33, 588, 239], dtype=int64)
 array([632, 158, 701, 315], dtype=int64)
 array([558, 280, 627, 355], dtype=int64)
 array([131,  64, 178, 190], dtype=int64)
 array([ 63, 200, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00055.jpg
